"group","id","Item","RT","compromised"
0,1,1,13.9791378353432,1
0,2,1,14.7384383139177,1
0,3,1,14.820223435117,1
0,4,1,96.2945996645784,1
0,5,1,14.191824186806,1
0,6,1,42.1484876782318,1
0,7,1,48.4950811294852,1
1,8,1,9.64448346132296,1
0,9,1,10.8594443488806,1
0,10,1,8.26122973086096,1
0,11,1,21.4656561086044,1
0,12,1,33.4055255243464,1
0,13,1,26.9203513028808,1
0,14,1,16.0360310477174,1
0,15,1,27.9816713719205,1
0,16,1,12.8023448798958,1
0,17,1,18.0257092644225,1
0,18,1,17.5607535138865,1
1,19,1,10.0750201114232,1
0,20,1,74.1304069648539,1
0,21,1,37.6266282524198,1
0,22,1,43.9296937422139,1
0,23,1,19.9157930134756,1
0,24,1,17.2866347728256,1
0,25,1,65.6043460011364,1
0,26,1,10.3687628745839,1
0,27,1,29.6668452287421,1
0,28,1,11.5748072444977,1
0,29,1,8.93497910384623,1
0,30,1,14.1128531731283,1
0,31,1,19.3960457181881,1
0,32,1,91.2544660301871,1
0,33,1,19.6434335424694,1
0,34,1,51.4184502733184,1
0,35,1,31.5130477953171,1
0,36,1,17.7822650236867,1
0,37,1,43.0934429534906,1
0,38,1,20.5657761601868,1
0,39,1,26.5115832266842,1
0,40,1,38.5902760605293,1
0,41,1,13.2243285584385,1
0,42,1,23.1848793631328,1
0,43,1,36.4505010076188,1
0,44,1,91.8378299840931,1
0,45,1,214.301673244088,1
1,46,1,60.3214515908673,1
0,47,1,43.8151374488393,1
1,48,1,12.0749070382911,1
0,49,1,19.8623791520514,1
0,50,1,91.8532261091033,1
1,51,1,14.54700717178,1
1,52,1,10.012575106422,1
0,53,1,17.6627503031989,1
0,54,1,27.8006105674282,1
0,55,1,16.6709378353885,1
0,56,1,24.9634372071023,1
0,57,1,27.7789843695058,1
0,58,1,11.0936046269747,1
0,59,1,15.1515990793819,1
0,60,1,11.963172864133,1
0,61,1,35.4153475332095,1
0,62,1,31.1487372525692,1
0,63,1,27.5481407975578,1
0,64,1,39.8262637904359,1
0,65,1,10.3049375432959,1
0,66,1,20.0432620836423,1
